code_com,type_nom,nom,inscrits
01262,0,Montluel,4542
01263,0,Montmerle-sur-Saône,2996
01264,0,Montracol,764
01265,0,Montréal-la-Cluse,2097
01266,0,Montrevel-en-Bresse,1990
01267,0,Nurieux-Volognat,748
01268,0,Murs-et-Gélignieux,203
01269,0,Nantua,1627
01272,0,Neuville-les-Dames,1073
01273,0,Neuville-sur-Ain,1285
01274,4,Neyrolles,356
01275,0,Neyron,1914
01276,0,Niévroz,1259
01277,0,Nivollet-Montgriffon,120
01279,1,Oncieu,89
01280,1,Ordonnaz,137
01281,1,Ornex,2067
01282,1,Outriaz,174
01283,1,Oyonnax,11685
01284,1,Ozan,543
01285,0,Parcieux,1015
01286,0,Parves et Nattages,808
01288,0,Péron,1501
01289,0,Péronnas,4694
01290,0,Pérouges,1037
01291,0,Perrex,638
01293,0,Peyriat,135
01294,0,Peyrieu,650
01295,0,Peyzieux-sur-Saône,451
01296,0,Pirajoux,318
01297,0,Pizay,723
01298,0,Plagne,112
01299,2,Plantay,414
01301,0,Polliat,2070
01302,0,Pollieu,144
01303,0,Poncin,1246
01304,0,Pont-d'Ain,1948
01305,0,Pont-de-Vaux,1496
01306,0,Pont-de-Veyle,968
01307,0,Port,577
01308,0,Pougny,443
01309,0,Pouillat,67
01310,0,Prémeyzel,131
01311,0,Prémillieu,53
01313,0,Prévessin-Moëns,4153
01314,0,Priay,1259
01317,0,Ramasse,251
01318,0,Rancé,553
01319,0,Relevant,345
01320,0,Replonges,2901
01321,0,Revonnas,708
01322,0,Reyrieux,3726
01323,0,Reyssouze,737
01325,0,Rignieux-le-Franc,830
01328,0,Romans,390
01329,0,Rossillon,146
01330,0,Ruffieu,161
01331,0,Saint-Alban,146
01332,0,Saint-André-de-Bâgé,615
01333,0,Saint-André-de-Corcy,2673
01334,0,Saint-André-d'Huiriat,479
01335,0,Saint-André-le-Bouchoux,278
01336,0,Saint-André-sur-Vieux-Jonc,902
01337,0,Saint-Bénigne,986
01338,0,Groslée-Saint-Benoit,956
01339,0,Saint-Bernard,1310
01342,0,Sainte-Croix,424
01343,0,Saint-Cyr-sur-Menthon,1375
01344,0,Saint-Denis-lès-Bourg,4626
01345,0,Saint-Denis-en-Bugey,1687
01346,0,Saint-Didier-d'Aussiat,622
01347,0,Saint-Didier-de-Formans,1722
01348,0,Saint-Didier-sur-Chalaronne,2228
01349,0,Saint-Éloi,415
01350,0,Saint-Étienne-du-Bois,1980
01351,0,Saint-Étienne-sur-Chalaronne,1215
01352,0,Saint-Étienne-sur-Reyssouze,415
01353,0,Sainte-Euphémie,1176
01354,0,Saint-Genis-Pouilly,5208
01355,0,Saint-Genis-sur-Menthon,386
01356,0,Saint-Georges-sur-Renon,181
01357,0,Saint-Germain-de-Joux,271
01358,0,Saint-Germain-les-Paroisses,337
01359,0,Saint-Germain-sur-Renon,212
01360,0,Saint-Jean-de-Gonville,1087
01361,0,Saint-Jean-de-Niost,1348
01362,0,Saint-Jean-de-Thurigneux,588
01363,0,Saint-Jean-le-Vieux,1418
01364,0,Saint-Jean-sur-Reyssouze,570
01365,0,Saint-Jean-sur-Veyle,873
01366,0,Sainte-Julie,741
01367,0,Saint-Julien-sur-Reyssouze,463
01368,0,Saint-Julien-sur-Veyle,601
01369,0,Saint-Just,762
01370,0,Saint-Laurent-sur-Saône,1020
01371,0,Saint-Marcel,949
01372,0,Saint-Martin-de-Bavel,361
01373,0,Saint-Martin-du-Frêne,742
